ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC,pct_internet,conectividad_alta
17,Morelos,1,Amacuzac,57,Campo la Respiración,3.0,2.0,3.0,1.0,0.0,66.66666666666666,1
17,Morelos,1,Amacuzac,59,Colonia Cuauhtémoc,4.0,2.0,2.0,1.0,1.0,50.0,1
17,Morelos,1,Amacuzac,60,Colonia el Mirador,6.0,2.0,5.0,2.0,0.0,33.33333333333333,1
17,Morelos,1,Amacuzac,63,La Peña,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,2,Atlatlahucan,1,Atlatlahucan,2388.0,1086.0,2075.0,654.0,600.0,45.47738693467337,1
17,Morelos,2,Atlatlahucan,2,Telchicayac (El Cabellito),68.0,8.0,57.0,12.0,9.0,11.76470588235294,0
17,Morelos,2,Atlatlahucan,8,Colonia Kilómetro 88,281.0,66.0,260.0,68.0,68.0,23.487544483985765,0
17,Morelos,2,Atlatlahucan,14,San Diego Tepantongo,118.0,11.0,99.0,67.0,6.0,9.322033898305085,0
17,Morelos,2,Atlatlahucan,16,Santa Inés,20.0,4.0,18.0,6.0,3.0,20.0,0
17,Morelos,2,Atlatlahucan,18,Telminca,11.0,3.0,10.0,3.0,2.0,27.27272727272727,0
17,Morelos,2,Atlatlahucan,20,San Juan Texcalpan,376.0,119.0,333.0,106.0,57.0,31.648936170212767,1
17,Morelos,2,Atlatlahucan,21,Tlaltetelco (San Miguel Tlaltetelco),553.0,141.0,492.0,136.0,108.0,25.49728752260398,0
17,Morelos,2,Atlatlahucan,22,Barranca Seca,8.0,2.0,8.0,1.0,1.0,25.0,0
17,Morelos,2,Atlatlahucan,25,Colonia San Francisco,399.0,99.0,371.0,71.0,84.0,24.81203007518797,0
17,Morelos,2,Atlatlahucan,28,Asociación de Colonos Hacienda la Alborada,42.0,29.0,38.0,22.0,22.0,69.04761904761905,1
17,Morelos,2,Atlatlahucan,29,El Astillero,92.0,4.0,71.0,20.0,3.0,4.3478260869565215,0
17,Morelos,2,Atlatlahucan,30,Centro Asturiano de México,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,2,Atlatlahucan,31,Rancho Zacanco (La Cueva),72.0,21.0,68.0,17.0,11.0,29.166666666666668,0
17,Morelos,2,Atlatlahucan,33,Fraccionamiento Lomas de Cocoyoc,959.0,907.0,940.0,764.0,803.0,94.57768508863398,1
17,Morelos,2,Atlatlahucan,36,Unidad Habitacional Vicente Guerrero,156.0,60.0,143.0,39.0,37.0,38.46153846153847,1
17,Morelos,2,Atlatlahucan,39,Rancho Temecatitla,12.0,2.0,12.0,7.0,4.0,16.666666666666664,0
17,Morelos,2,Atlatlahucan,43,Colonia el Salto,41.0,5.0,40.0,11.0,6.0,12.195121951219512,0
17,Morelos,2,Atlatlahucan,44,Los Cerritos,136.0,42.0,128.0,38.0,32.0,30.88235294117647,1
17,Morelos,2,Atlatlahucan,46,Fraccionamiento Jardines de Jericó,4.0,1.0,3.0,1.0,1.0,25.0,0
17,Morelos,2,Atlatlahucan,47,El Jaral,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,2,Atlatlahucan,49,Loma de Malpaís,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,2,Atlatlahucan,53,Puntas de Malpaís (Malpaís),5.0,2.0,5.0,2.0,1.0,40.0,1
17,Morelos,2,Atlatlahucan,54,Colonia Campestre Lomas de Texcalpan,46.0,12.0,49.0,14.0,9.0,26.08695652173913,0
17,Morelos,2,Atlatlahucan,57,Rancho Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,2,Atlatlahucan,58,Rancho Teoxtoc,7.0,3.0,7.0,1.0,1.0,42.857142857142854,1
17,Morelos,2,Atlatlahucan,60,Campo Caballojapa,7.0,2.0,6.0,0.0,2.0,28.57142857142857,0
17,Morelos,2,Atlatlahucan,61,Colonia el Puente,31.0,12.0,32.0,7.0,5.0,38.70967741935484,1
17,Morelos,2,Atlatlahucan,62,Jagüeycillos (Colonia 10 de Mayo),53.0,5.0,52.0,15.0,14.0,9.433962264150944,0
17,Morelos,2,Atlatlahucan,66,Ampliación San Antonio,52.0,10.0,49.0,10.0,8.0,19.230769230769234,0
17,Morelos,2,Atlatlahucan,67,Colonia la Guadalupana,74.0,3.0,69.0,13.0,2.0,4.054054054054054,0
17,Morelos,2,Atlatlahucan,68,Las Minas,578.0,131.0,555.0,111.0,104.0,22.664359861591695,0
17,Morelos,2,Atlatlahucan,70,Colonia Pozo Mancera,162.0,41.0,154.0,39.0,20.0,25.308641975308642,0
17,Morelos,2,Atlatlahucan,71,Colonia Rancho Santa Cruz,52.0,16.0,46.0,9.0,4.0,30.76923076923077,1
17,Morelos,2,Atlatlahucan,73,Rancho la Tortuga,17.0,3.0,16.0,6.0,4.0,17.647058823529413,0
17,Morelos,2,Atlatlahucan,76,Ameyalco,6.0,1.0,3.0,0.0,0.0,16.666666666666664,0
17,Morelos,2,Atlatlahucan,77,Fraccionamiento Tehuicil,31.0,14.0,29.0,15.0,10.0,45.16129032258064,1
17,Morelos,2,Atlatlahucan,78,Colonia Alta Vista,13.0,3.0,14.0,8.0,0.0,23.076923076923077,0
17,Morelos,2,Atlatlahucan,79,Campo Tlacotlaco,43.0,8.0,43.0,15.0,6.0,18.6046511627907,0
17,Morelos,2,Atlatlahucan,80,Linda Vista,5.0,2.0,6.0,1.0,0.0,40.0,1
17,Morelos,2,Atlatlahucan,81,Pilalpuente [Rancho],14.0,2.0,13.0,5.0,2.0,14.285714285714285,0
17,Morelos,3,Axochiapan,1,Axochiapan,4834.0,1968.0,4255.0,1382.0,1105.0,40.71162598262308,1
17,Morelos,3,Axochiapan,2,Ahuaxtla,57.0,13.0,50.0,7.0,11.0,22.807017543859647,0
17,Morelos,3,Axochiapan,3,Atlacahualoya,937.0,229.0,775.0,233.0,104.0,24.439701173959445,0
17,Morelos,3,Axochiapan,4,Los Carros,11.0,0.0,8.0,6.0,0.0,0.0,0
17,Morelos,3,Axochiapan,5,Cayehuacán,75.0,21.0,63.0,25.0,7.0,28.000000000000004,0
17,Morelos,3,Axochiapan,6,Joaquín Camaño,121.0,43.0,92.0,62.0,27.0,35.53719008264463,1
17,Morelos,3,Axochiapan,7,Marcelino Rodríguez (San Ignacio),546.0,182.0,441.0,140.0,88.0,33.33333333333333,1
17,Morelos,3,Axochiapan,8,Palo Blanco,60.0,4.0,55.0,9.0,5.0,6.666666666666667,0
17,Morelos,3,Axochiapan,9,Quebrantadero,758.0,356.0,645.0,261.0,265.0,46.965699208443276,1
