ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC
17,Morelos,004,Ayala,0010,Huacatlaco (Los Anonos),84,0,63,16,6
17,Morelos,004,Ayala,0011,Huitzililla,726,140,547,40,78
17,Morelos,004,Ayala,0012,Jaloxtoc,1020,374,805,124,211
17,Morelos,004,Ayala,0014,Moyotepec,1108,436,996,258,305
17,Morelos,004,Ayala,0015,Niños Héroes,158,47,141,23,33
17,Morelos,004,Ayala,0016,Olintepec,414,191,359,85,100
17,Morelos,004,Ayala,0017,Palo Blanco,139,18,130,17,13
17,Morelos,004,Ayala,0019,Rafael Merino (San Antonio),275,77,265,85,61
17,Morelos,004,Ayala,0021,La Sábana,16,3,17,2,5
17,Morelos,004,Ayala,0022,El Salitre,347,106,315,23,35
17,Morelos,004,Ayala,0023,San Juan Ahuehueyo,710,328,570,157,183
17,Morelos,004,Ayala,0024,San Vicente de Juárez (Las Piedras),434,94,363,27,64
17,Morelos,004,Ayala,0025,Tecomalco,132,5,116,34,3
17,Morelos,004,Ayala,0026,Tenextepango,2298,1069,2005,928,718
17,Morelos,004,Ayala,0027,Tlayecac,806,361,708,171,227
17,Morelos,004,Ayala,0028,El Vergel,268,110,149,65,30
17,Morelos,004,Ayala,0029,Fraccionamiento el Venadito,37,27,37,20,19
17,Morelos,004,Ayala,0030,Parque Industrial Cuautla,1,0,1,0,0
17,Morelos,004,Ayala,0031,Fraccionamiento Huertas de Cuautla,430,240,414,122,175
17,Morelos,004,Ayala,0032,Fraccionamiento Prados del Sol,26,19,26,9,15
17,Morelos,004,Ayala,0033,Fraccionamiento Paraíso Tlahuica,70,53,64,35,42
17,Morelos,004,Ayala,0034,Fraccionamiento Citlalin,20,14,20,9,13
17,Morelos,004,Ayala,0035,Fraccionamiento Isla de Cuautla,43,26,43,16,25
17,Morelos,004,Ayala,0037,Rancho la Barranquilla,*,*,*,*,*
17,Morelos,004,Ayala,0038,Buena Vista,111,14,96,14,12
17,Morelos,004,Ayala,0040,Rancho Rosa y Manuel (Casa Blanca),*,*,*,*,*
17,Morelos,004,Ayala,0042,Constancio Farfán (La Pascuala),496,133,441,116,59
17,Morelos,004,Ayala,0043,Colonia la Libertad,35,4,33,6,5
17,Morelos,004,Ayala,0049,Unidad Habitacional Mariano Matamoros,325,140,296,89,112
17,Morelos,004,Ayala,0050,Campo Agua de los Patos,*,*,*,*,*
17,Morelos,004,Ayala,0053,Ampliación Campo el Higuerillo,9,4,7,2,2
17,Morelos,004,Ayala,0054,Colonia Ejidal Rafael Merino,156,58,139,35,37
17,Morelos,004,Ayala,0055,Ejido Nueva Olintepec,85,22,78,7,13
17,Morelos,004,Ayala,0056,Unidad Piscícola de Chinameca,6,0,7,3,1
17,Morelos,004,Ayala,0057,Unidad Piscícola el Vergel,2,1,3,1,0
17,Morelos,004,Ayala,0058,El Almacén,48,15,44,19,21
17,Morelos,004,Ayala,0064,Campo Nuevo,*,*,*,*,*
17,Morelos,004,Ayala,0065,Granja las Cebollas,*,*,*,*,*
17,Morelos,004,Ayala,0066,Colonia las Lumbreras,62,16,58,14,7
17,Morelos,004,Ayala,0069,Rancho el Pañuelo,23,0,19,2,1
17,Morelos,004,Ayala,0070,Unidad Habitacional 10 de Abril,462,267,438,152,204
17,Morelos,004,Ayala,0073,Colonia las Arboledas,497,125,456,59,76
17,Morelos,004,Ayala,0075,Campo la Escopeta,124,49,114,22,33
17,Morelos,004,Ayala,0076,Granja las Codornices (La Fábrica),*,*,*,*,*
17,Morelos,004,Ayala,0077,Rancho Chicapa (Teteltitla),*,*,*,*,*
17,Morelos,004,Ayala,0078,Granja la Esperanza,*,*,*,*,*
17,Morelos,004,Ayala,0079,El Jagüey,*,*,*,*,*
17,Morelos,004,Ayala,0080,Colonia General Emiliano Zapata (El Chivatero),147,15,118,11,18
17,Morelos,004,Ayala,0082,La Doncella,31,11,28,5,10
17,Morelos,004,Ayala,0083,La Joya,128,25,126,20,21
17,Morelos,004,Ayala,0084,Loma Bonita,153,13,136,10,10
17,Morelos,004,Ayala,0087,Campo Palomar Chico,65,13,62,12,11
17,Morelos,004,Ayala,0088,Campo Amate Amarillo,6,2,6,2,1
17,Morelos,004,Ayala,0089,Campo Bustamante,*,*,*,*,*
17,Morelos,004,Ayala,0091,Campo el Chivatero,1,0,2,0,0
17,Morelos,004,Ayala,0093,Campo el Salto,*,*,*,*,*
17,Morelos,004,Ayala,0094,Campo Iturbide,*,*,*,*,*
17,Morelos,004,Ayala,0095,Campo la Soledad,66,17,61,13,9
17,Morelos,004,Ayala,0097,Campo las Cruces,*,*,*,*,*
17,Morelos,004,Ayala,0099,Campo los Pilares,9,2,9,2,1
17,Morelos,004,Ayala,0103,Fraccionamiento las Llaves,464,240,453,153,183
17,Morelos,004,Ayala,0106,Ampliación Chinameca,1,0,4,0,0
17,Morelos,004,Ayala,0108,La Joya Escondida,*,*,*,*,*
17,Morelos,004,Ayala,0109,El Pozo,4,2,4,1,1
17,Morelos,004,Ayala,0110,Rancho Agua Limpia,4,1,4,1,4
17,Morelos,004,Ayala,0114,Rancho el Amate,*,*,*,*,*
17,Morelos,004,Ayala,0116,Rancho la Herradura,*,*,*,*,*
17,Morelos,004,Ayala,0120,Rancho los Aviña,*,*,*,*,*
17,Morelos,004,Ayala,0121,Rancho Santana 1,3,0,3,2,0
17,Morelos,004,Ayala,0124,El Sifón de la Cuera,11,0,11,3,0
17,Morelos,004,Ayala,0126,Anenecuilco,*,*,*,*,*
17,Morelos,004,Ayala,0129,Colonia Segunda Ampliación Moyotepec,19,6,18,2,2
17,Morelos,004,Ayala,0130,Puente Blanco,5,2,4,0,1
17,Morelos,004,Ayala,0132,Agua Salada,32,0,30,1,1
17,Morelos,004,Ayala,0133,Ampliación las Flores,20,3,19,3,1
17,Morelos,004,Ayala,0134,Ampliación Rafael Merino,8,1,8,1,1
17,Morelos,004,Ayala,0137,Campo Huizachera 2,10,2,10,1,2
17,Morelos,004,Ayala,0139,El Crucero de Chinameca,18,6,17,4,4
17,Morelos,004,Ayala,0140,El Jagüey,*,*,*,*,*
17,Morelos,004,Ayala,0141,Las Lajas,*,*,*,*,*
17,Morelos,004,Ayala,0142,El Mirador,224,115,212,64,92
17,Morelos,004,Ayala,0143,Rancho Epifanio Sotelo,*,*,*,*,*
17,Morelos,004,Ayala,0144,Rancho Palomar Grande,8,0,6,1,0
17,Morelos,004,Ayala,0146,Rincón de los Sauces,21,2,21,3,4
17,Morelos,004,Ayala,0147,2da. Sección Benito Juárez,3,0,3,2,0
17,Morelos,004,Ayala,0149,Anenecuilco,43,7,32,10,3
17,Morelos,004,Ayala,0150,Campo los Pedros,2,0,2,0,0
17,Morelos,004,Ayala,0152,Colonia Leopoldo Heredia,38,7,37,7,6
17,Morelos,004,Ayala,0153,Rancho el Naranjo (La Escondida),*,*,*,*,*
17,Morelos,004,Ayala,0154,Ampliación Tenextepango (La Parcela),59,30,57,18,21
17,Morelos,004,Ayala,0155,El Axocoche,*,*,*,*,*
17,Morelos,004,Ayala,0156,El Cerro Olinche,25,0,19,4,2
17,Morelos,004,Ayala,0157,Colonia Ampliación Cruz Verde,16,4,17,3,4
17,Morelos,004,Ayala,0158,Colonia Ampliación Norte,*,*,*,*,*
17,Morelos,004,Ayala,0159,Ejido Anenecuilco,*,*,*,*,*
17,Morelos,004,Ayala,0160,Valle de Morelos,143,7,118,48,3
17,Morelos,004,Ayala,0162,Moyotepec,12,2,10,6,1
17,Morelos,004,Ayala,0163,Parada a Huexca,7,0,7,1,0
17,Morelos,004,Ayala,0164,Colonia las Flores,13,0,13,1,1
17,Morelos,004,Ayala,0166,Campo Puente de Fierro,6,3,6,1,4
17,Morelos,004,Ayala,0167,Colonia las Joyas,*,*,*,*,*
17,Morelos,004,Ayala,0168,Colonia Pablo Torres Burgos,3,1,3,0,2
17,Morelos,004,Ayala,0169,El Barreal,*,*,*,*,*
17,Morelos,004,Ayala,0170,Rancho Chalpa,*,*,*,*,*
17,Morelos,004,Ayala,0171,Jaloxtoc,30,1,27,4,5
17,Morelos,004,Ayala,0172,Fraccionamiento Villa Dorada,2,0,3,1,1
17,Morelos,004,Ayala,0173,Huertos el Paraíso,*,*,*,*,*
17,Morelos,004,Ayala,0175,Campo los Bandidos,*,*,*,*,*
17,Morelos,004,Ayala,0176,Campo la Canoa,*,*,*,*,*
17,Morelos,004,Ayala,0177,Campo Santa Rosa,10,0,5,0,1
17,Morelos,004,Ayala,0178,Fraccionamiento Rinconada del Valle,14,0,14,2,1
17,Morelos,004,Ayala,0180,Rancho San José,*,*,*,*,*
17,Morelos,004,Ayala,0181,San Rafael,*,*,*,*,*
17,Morelos,004,Ayala,0182,Residencial la Cantera,60,50,60,35,52
17,Morelos,004,Ayala,0183,Residencial Villa de los Arcos,41,28,40,22,26
17,Morelos,004,Ayala,0184,Residencial los Sauces,150,87,145,62,80
17,Morelos,004,Ayala,0186,Ampliación la Cucaracha,8,1,8,1,2
17,Morelos,004,Ayala,0188,Campo el Brasil,5,1,3,3,3
17,Morelos,004,Ayala,0189,Campo Hidalgo,*,*,*,*,*
17,Morelos,004,Ayala,0190,Campo Palo Blanco,*,*,*,*,*
17,Morelos,004,Ayala,0194,Fraccionamiento la Paz,37,16,36,16,10
17,Morelos,004,Ayala,0196,Valle del Pedregal [Fraccionamiento],321,172,318,129,176
17,Morelos,004,Ayala,0197,Colonia Avilés,*,*,*,*,*
17,Morelos,004,Ayala,0198,Vida y Sol,8,2,8,0,1
17,Morelos,004,Ayala,0199,Linda Vista,3,0,21,0,1
17,Morelos,004,Ayala,9998,Localidades de una vivienda,17,4,18,2,3
17,Morelos,004,Ayala,9999,Localidades de dos viviendas,29,5,27,1,3
17,Morelos,005,Coatlán del Río,0000,Total del Municipio,2968,837,2238,809,439
17,Morelos,005,Coatlán del Río,0001,Coatlán del Río,616,316,488,245,190
17,Morelos,005,Coatlán del Río,0002,Apancingo,153,51,103,14,23
17,Morelos,005,Coatlán del Río,0003,Benito Juárez,102,16,76,4,6
17,Morelos,005,Coatlán del Río,0004,Buenavista de Aldama,77,11,37,10,4
17,Morelos,005,Coatlán del Río,0005,Cocoyotla,418,89,331,159,54
17,Morelos,005,Coatlán del Río,0006,Colonia Cuauhtémoc,158,26,124,87,16
17,Morelos,005,Coatlán del Río,0007,Colonia Morelos,182,18,108,22,10
17,Morelos,005,Coatlán del Río,0008,Chavarría,328,70,246,56,38
17,Morelos,005,Coatlán del Río,0009,Michapa,340,137,243,53,49
17,Morelos,005,Coatlán del Río,0010,Tilancingo,255,36,205,64,19
17,Morelos,005,Coatlán del Río,0011,Cuernavaquita,14,2,12,1,1
17,Morelos,005,Coatlán del Río,0012,El Axixintle (El Treinta y Cinco),67,11,53,14,2
17,Morelos,005,Coatlán del Río,0014,El Canelillo,50,4,46,33,3
17,Morelos,005,Coatlán del Río,0018,San Antonio,95,8,79,17,4
17,Morelos,005,Coatlán del Río,0019,Tezoquipa,36,18,34,22,9
17,Morelos,005,Coatlán del Río,0020,Colonia San José,18,1,9,0,1
17,Morelos,005,Coatlán del Río,0023,Puente el Arenal (La Joya),44,15,36,3,8
17,Morelos,005,Coatlán del Río,0027,El Amate,15,8,8,5,2
17,Morelos,005,Coatlán del Río,0029,CEFERESO Número 16 CPS Femenil Morelos,*,*,*,*,*
17,Morelos,005,Coatlán del Río,9998,Localidades de una vivienda,*,*,*,*,*
17,Morelos,006,Cuautla,0000,Total del Municipio,52024,30286,47584,19259,20584
17,Morelos,006,Cuautla,0001,Cuautla,44072,26968,40283,17313,18410
17,Morelos,006,Cuautla,0003,Calderón,289,142,263,91,70
17,Morelos,006,Cuautla,0014,Ex-Hacienda el Hospital,664,299,588,199,202
17,Morelos,006,Cuautla,0021,Puxtla,524,253,464,143,138
17,Morelos,006,Cuautla,0030,Empleado Municipal,198,95,186,54,49
17,Morelos,006,Cuautla,0032,Peña Flores (Palo Verde),1161,601,1050,353,373
17,Morelos,006,Cuautla,0040,Narciso Mendoza,523,254,478,142,145
17,Morelos,006,Cuautla,0043,Colonia los Cortés (Segundo Campo de Puxtla),89,29,79,22,20
17,Morelos,006,Cuautla,0044,Rancho Guadalupe,*,*,*,*,*
17,Morelos,006,Cuautla,0047,3 de Mayo,311,67,281,36,55
17,Morelos,006,Cuautla,0051,19 de Febrero de 1812,308,96,289,42,49
